도명,지점명,지점코드,위도,경도,고도,설치주소,관측시작일
경상남도,김해시 전하동,621100A001,35.21431,128.86962,5,경상남도 김해시 전하로198번길 102 (전하동),2010-12-21
경상남도,남해군 이동면,668812F002,34.81611,127.92559,46,경남 남해군 이동면 남해대로 2421,2013-08-20
경상남도,밀양시 산내면,050415C005,35.3541,128.57174,258,경상남도 밀양시 산내면 삼양리 1931,2017-04-19
경상남도,밀양시 상남면,627911A001,35.44802,128.75794,7,경상남도 밀양시 상남면 상남로 1008-19,2010-09-06
경상남도,사천시 송포동,052546F018,34.9652,128.05101,76,경남 사천시 해안관광로 458-19,2017-11-24
경상남도,사천시 용현면,664951A001,35.03698,128.06766,188,경남 사천시 용현면 신복리 500번지,2012-07-04
경상남도,진주시 초전동,660985B001,35.20538,128.11697,23,경남 진주시 초전동 469,2011-09-08
경상남도,창녕군 대지면,635821A001,35.55139,128.47668,36,경상남도 창녕군 대지면 우포2로 1085,2014-06-10
경상남도,창원시 대산면,051394A001,35.34259,128.70779,5,경남 창원시 의창구 대산면 가술리 31-2,2009-05-01
경상남도,통영시 광도면,650821A001,34.90357,128.40463,42,경상남도 통영시 광도면 노산리 251-40(농업개발시설내),2010-09-30
경상남도,하동군 적량면,667831A001,35.07943,127.76967,35,경남 하동군 적량면 동산리 1830-2,2011-06-15
경상남도,합천군 용주면,678806A001,35.55128,128.11239,49,경남 합천군 용주면 고품리 910-292,2011-10-01
제주도,서귀포 감산리,063531B010,33.26108,126.35497,125.4,서귀포시 안덕면 감산리 228-2,2014-04-25
제주도,서귀포 남원읍,063607F015,33.30227,126.61213,193,제주특별자치도 서귀포시 남원읍 하례리 1318,
제주도,서귀포 대정읍,063501F011,33.27401,126.22765,49,제주특별자치도 서귀포시 대정읍 무릉리 1485,2016-09-29
제주도,서귀포 덕수리,063527F012,33.25468,126.30059,67,제주특별자치도 서귀포시 안덕면 덕수리 2579-1,2016-09-28
제주도,서귀포 성산읍,063641F007,33.43472,126.89741,50,제주특별자치도 서귀포시 성산읍 고성리 2559-1,
제주도,서귀포 신효동,063605F004,33.26984,126.61333,75,제주특별자치도 서귀포시 신효동 548-11,2016-09-30
제주도,서귀포 신흥리,063616F005,33.3057,126.74618,45,제주특별자치도 서귀포시 남원읍 신흥리 1437-12,2016-03-02
제주도,서귀포 중문동,063550B007,33.35363,126.2484,163.8,제주특별자치도 서귀포시 중문동 912,2014-04-25
제주도,서귀포 창천리,063532F013,33.26528,126.36734,162,제주특별자치도 서귀포시 안덕면 창천리 183,2016-09-27
제주도,서귀포 표선면,063626F006,33.33378,126.77825,102,제주특별자치도 서귀포시 표선면 토산리 723-1,
제주도,서귀포 하례리,699946A001,33.28899,126.61167,142,제주시 서귀포 남원읍 하례리 1591-14,2007-01-01
제주도,서귀포 하원동,063541F014,33.25598,126.45764,112,제주특별자치도 서귀포시 하원동 1315,2016-09-27
제주도,제주시 구좌읍,063356F008,33.50321,126.7711,126,제주특별자치도 제주시 구좌읍 덕천리 278-6,2016-10-01
제주도,제주시 금악리,063190F010,33.36013,126.29302,200,제주특별자치도 제주시 한림읍 금악리 2159-2,2016-09-30
제주도,제주시 김녕리,695971A001,33.5502,126.75055,36,제주특별자치도 제주시 구좌읍 김녕남6길 8,2007-01-01
제주도,제주시 덕천리,063531B006,33.5029,126.7798,130.2,제주특별자치도 제주시 구좌읍 덕천리 154,2014-04-25
제주도,제주시 상귀길,695909B001,33.45941,126.40391,102,제주특별자치도 제주시 애월읍 상귀길 173,2007-01-01
제주도,제주시 세화리,063352B012,33.51083,126.84355,36,"제주시 구좌읍 세화리 1703-29, 동부농업기술센터 실증포",2017-06-30
제주도,제주시 신엄리,063048F003,33.45888,126.36908,105,제주특별자치도 제주시 애월읍 신엄리 1818-1,2016-09-30
제주도,제주시 애월읍,063057B009,33.44772,126.4123,199.1,제주특별자치도 제주시 애월읍 상귀리 940,2014-05-01
제주도,제주시 오등동,063240F009,33.46588,126.53912,208,제주특별자치도 제주시 오등동 125,2016-10-01
제주도,제주시 월각로,695907A001,33.37691,126.32979,308,제주특별자치도 제주시 애월읍 월각로 563-20,2007-01-01
제주도,제주시 조천읍,063336B011,33.3171,126.3749,37.5,제주특별자치도 제주시 조천읍 신촌리 715,2013-05-01
제주도,제주시 한동리,053359B008,33.53483,126.83234,9,제주특별자치도 제주시 구좌읍 한동리 55-1,2007-01-01
제주도,제주시 한림읍,695923A001,33.35316,126.24862,75,제주특별자치도 제주시 한림읍 월림7길 90,2007-01-01
서울,서울시 서초구,137180A001,37.46541,127.08996,58,서울특별시 서초구 헌인릉1길 83-9 (내곡동),2012-05-26
부산,부산시 강서구,618803A001,35.20937,128.96128,3,경남 부산시 강서구 대저1동 2038,2010-12-20
인천,옹진군 백령면,409911A001,37.95742,124.71063,11,인천광역시 옹진군 백령면 진촌리 2359-4,2014-12-18
인천,옹진군 영흥면,409871A001,37.25288,126.46034,11,인천광역시 옹진군 영흥면 영흥남로435번길 29,2012-05-26
울산,울산시 청량면,689861A001,35.52411,129.26704,51,울산광역시 울주군 청량면 청량천변로 211,2009-03-02
울산,울주군 서생면,045012F021,35.36393,129.30257,65,울산광역시 울주군 서생면 위양리 725-1,2017-11-24
세종시,세종시 연서면,339814A001,36.57488,127.28141,55,세종특별자치시 연서면 월하천로 289,2010-09-13
