plor_cd,plor_nm
215703.0,강원 양양군 양양읍  명지푸르미아파트 
215709.0,강원 양양군 손양면 동호리 양양국제공항 
215710.0,강원 양양군 현북면  심미아파트 
215800.0,강원 양양군 양양읍
215801.0,강원 양양군 양양읍 감곡리
215802.0,강원 양양군 양양읍 거마리
215803.0,강원 양양군 양양읍 구교리
215804.0,강원 양양군 양양읍 군행리
215805.0,강원 양양군 양양읍 서문리
215806.0,강원 양양군 양양읍 남문1리  115∼300
215807.0,강원 양양군 양양읍 월리
215810.0,강원 양양군 서면
215811.0,강원 양양군 서면 갈천리
215812.0,강원 양양군 서면 서선리
215813.0,강원 양양군 서면 범부리
215814.0,강원 양양군 서면 가라피리
215815.0,강원 양양군 서면 내현리
215816.0,강원 양양군 서면 수리
215820.0,강원 양양군 손양면
215821.0,강원 양양군 손양면 가평리
215822.0,강원 양양군 손양면 남양리
215823.0,강원 양양군 손양면 도화리
215824.0,강원 양양군 손양면 부소치리
215825.0,강원 양양군 손양면 오산리
215829.0,강원 양양군 강현면 강선리 사서함 31
215830.0,강원 양양군 현북면
215831.0,강원 양양군 현북면 기사문리
215832.0,강원 양양군 현북면 도리
215833.0,강원 양양군 현북면 대치리
215834.0,강원 양양군 현북면 면옥치리
215835.0,강원 양양군 현북면 어성전리
215836.0,강원 양양군 현북면 말곡리
215840.0,강원 양양군 현남면
215841.0,강원 양양군 현남면 견불리
215842.0,강원 양양군 현남면 동산리
215843.0,강원 양양군 현남면 상월천리
215850.0,강원 양양군 강현면
215851.0,강원 양양군 강현면 간곡리
215852.0,강원 양양군 강현면 강선리
215853.0,강원 양양군 강현면 광석리
215854.0,강원 양양군 강현면 전진1리
215859.0,강원 양양군 강현면 장산리 사서함 123
217000.0,강원도 속초시
217010.0,강원 속초시 영랑동
217020.0,강원 속초시 동명동
217030.0,강원 속초시 중앙동
217040.0,강원 속초시 금호동
217050.0,강원 속초시 청학동
217060.0,강원 속초시 교동
217070.0,강원 속초시 노학동
217080.0,강원 속초시 조양동
217090.0,강원 속초시 청호동
217100.0,강원 속초시 대포동
217110.0,강원 속초시 도문동
217120.0,강원 속초시 설악동
217130.0,강원 속초시 장사동
217600.0,강원 속초시 속초우체국사서함
217701.0,강원 속초시 중앙동  속초시청 
217702.0,강원 속초시 영랑동  춘천지방검찰청속초지청 
217703.0,강원 속초시 노학동  속초경찰서 
217704.0,강원 속초시 노학동  속초세무서 
217711.0,강원 속초시 노학동  동우대학 
217750.0,강원 속초시 교동  현대아파트 101∼305동
217751.0,강원 속초시 조양동  부영아파트3단지 
217752.0,강원 속초시 조양동  부영아파트1단지 
217753.0,강원 속초시 교동  대우아파트 
217754.0,강원 속초시 교동  삼환아파트 
217755.0,강원 속초시 교동  대명늘푸른아파트 
217756.0,강원 속초시 교동  주공아파트 101∼111동
217757.0,강원 속초시 교동  주공아파트 201∼217동
217758.0,강원 속초시 교동  동부아파트 
217759.0,강원 속초시 조양동  주공4차아파트 
217760.0,강원 속초시 교동  명지미래힐아파트 101∼106동
217761.0,강원 속초시 금호동  대림e편한세상아파트 101∼107동
217762.0,강원 속초시 조양동  삼성쉐르빌아파트 101∼105동
217763.0,강원 속초시 교동  설악현대아파트 101∼104동
217800.0,강원 속초시 교동1∼619
217801.0,강원 속초시 교동620∼629
217802.0,강원 속초시 교동630∼634
217803.0,강원 속초시 교동635∼690
217804.0,강원 속초시 교동691∼766
217805.0,강원 속초시 교동767∼800
217806.0,강원 속초시 교동801∼978
217807.0,강원 속초시 금호동1∼619
217808.0,강원 속초시 금호동620∼781
217809.0,강원 속초시 동명동1∼452
217810.0,강원 속초시 동명동453∼595
217811.0,강원 속초시 조양동1∼1377
